Author	Text	Location	Datetime
theobordugoufr_	RT @aladin135: #SmoothLa   LUNDI 4 AVRIL   #PanamaBende https://t.co/QOZiVo8CTD	metz lv	13:25:24 03/04/2016
guillermogarces	RT @lilianrangel: Spa "Cejas y Cera" en Panama es de  Keyla Zambrano, Ex Prefecta de Barquisimeto, Chavista, Venezolanos a protestar! https…	None	12:06:35 03/04/2016
D0Ry3	Lo que dificulta la migración de venezolanos a Panamá - https://t.co/8s71V0SDRW	Venezuela	12:29:18 03/04/2016
cdcterminalorie	RT @NelsonBocaranda: ¿Pescado viejo comprado en Panamá? ¿O en Trinidad? Nadie lo sabe.¿Otra Farsa roja? Certifíquenlo entonces https://t.co…	Caracas.	14:14:23 03/04/2016
EcuProm	RT @easytravelgye: Tour de Compras Panamá Aprovecha un 5% descuento más Información: 0998104833 @EcuProm @anuncia_ec @MercadoLibreEc https:…	Ecuador	14:49:39 03/04/2016
franklincorone2	RT @falconoticias: Adivinen a quien le pertenece este Spa en Panama? A Keyla Zambrana, ex prefecta de Barquisimeto @GenPenaloza https://t.c…	Aqui	14:47:08 03/04/2016
PlanetPonzi	#Iceland PM #Gunnlaugsson &amp; Finance Minister #Benediktsson Exposed as Corrupt Rotton To the Core Liars #Panamapapers https://t.co/C920774phh	London, UK	14:42:01 04/04/2016
BAMICKE	Panama Papers: Die Köpfe der Panama-Connection https://t.co/KQZyJ84a9z	Magdeburg	14:47:05 04/04/2016
RUSOCRPTDNT	RT @DanteForesi: En Brasil quieren hacerle juicio político a Dilma por meras sospechas. En Argentina, hay evidencias y confesión de Macri #…	None	14:48:33 04/04/2016
wanttoflyx	Panama Papers: 10 Most Popular Tax Havens https://t.co/Xsz3wG7a7X	None	14:48:28 04/04/2016
gabrifsar	Todos los chilenos involucrados hasta el momento en #panamapapers son personajes ligados a la derecha ¿raro no?  https://t.co/PbiQdmEjXb	Chile 	14:50:54 04/04/2016
PepePenia	RT @DanteForesi: En Brasil quieren hacerle juicio político a Dilma por meras sospechas. En Argentina, hay evidencias y confesión de Macri #…	mataderos	14:43:36 04/04/2016
andreaines1205	RT @FilmusDaniel: Mas sobre los #PanamaLeaks.: Una visita al infierno fiscal de Macri https://t.co/WxeM4qChdj	None	14:43:32 04/04/2016
DrManessRyan	RT @ianbremmer: American interest in #PanamaPapers very limited. (Will change when US officials caught up in it are announced..) https://t.…	Boston, MA	14:45:15 04/04/2016
EverlyneNairesi	RT @OxfamIreland: Real transparency needed. E.g. public registers so governments know who to tax https://t.co/Q1gMf7cFDW #PanamaPapers http…	Nairobi	14:46:52 04/04/2016
noe_cant	Mauricio Macri y Daniel Muñoz figuran en una investigación sobre sociedades 'offshore' en Panamá https://t.co/Gqxc2FmUGN vía @perfilcom	Santander, Cantabria - España	14:46:52 04/04/2016
xxaris276	RT @Gath___: Τα έγγραφα διέρρευσαν από την Mossack Fonseca, την 4η μεγαλύτερη νομική εταιρεία για offshore, σκέψου τι έχουν οι πρώτες 3...…	None	14:46:45 04/04/2016
ResistVzla_	RT @La_Ksa_de_atras: Un rolling... Esto pica y se extiende Ahora es que #panamapapers comienza a develar parte del BOTIN .@1954candanga htt…	None	14:46:44 04/04/2016
Antoine_Chevet	RT @PetulaMoore: #PanamaPaper https://t.co/5WXGCXHkUB	Poitiers, France	14:48:19 04/04/2016
BiblioColo_ve	RT @678elprograma: .@mauriciomacri y #Messi entre los argentinos más destacados x el escándalo de #PanamaPapers https://t.co/A9rqWEYwml htt…	None	14:49:53 04/04/2016
ylmazgen3	RT @ilyasdmrbs: Panama belgelerine yayın yasağı getiren bizim yargımız, Rıza Bey'in yargılamasına da haydi haydi getirir.	None	14:49:55 04/04/2016
ganchimeg8	#panamapapers leak exposes global money ring. Among those named:  Putin Iceland's Prime... https://t.co/2xo9DFes8U via @batengineer	None	14:43:16 04/04/2016
